#####################################################################
# Alchemist log file - simulation started at: 2026-05-19T08:15+0000 #
#####################################################################
#
# seed = 15.0, connection_range_percentage = 0.1, variability = 10.0, history_length = 1200, drones = 80
#
# The columns have the following meaning: 
# time wandering[mean] defending[mean] solving[mean] wait[mean] attacked[max] alarm[max] historySize[mean] disagreementRate 
0.0 NaN NaN NaN NaN 0.0 0.0 NaN 0.0
0.0 0.0 0.0 0.0 1.0 0.0 0.0 2.0 0.0
1.0003061426018995 0.0 0.0 0.0 1.0 0.0 0.0 2.3 0.0
2.0035851396198114 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
3.0090872484315243 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
4.009087248431524 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
5.009087248431524 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
6.009087248431524 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
7.003992947957869 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
8.00424502764254 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
9.002507150949139 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
10.009087248431523 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
11.00590877545116 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
12.008795616855261 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
13.002006406513484 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
14.004320370267397 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
15.005320966762064 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
16.002521389881185 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
17.009087248431523 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
18.009087248431523 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
19.00717253415145 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
20.009087248431523 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
