#####################################################################
# Alchemist log file - simulation started at: 2026-05-19T12:05+0000 #
#####################################################################
#
# seed = 78.0, connection_range_percentage = 0.2, variability = 7.0, history_length = 6000, drones = 40
#
# The columns have the following meaning: 
# time wandering[mean] defending[mean] solving[mean] wait[mean] attacked[max] alarm[max] historySize[mean] disagreementRate 
0.0 NaN NaN NaN NaN 0.0 0.0 NaN 0.0
0.0 0.0 0.0 0.0 1.0 0.0 0.0 2.0 0.0
1.002692349444153 0.0 0.0 0.0 1.0 0.0 0.0 2.3 0.0
2.03936511238763 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
3.024437942119947 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
4.004621130704853 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
5.0186829892286715 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
6.017322555546446 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
7.03936511238763 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
8.035186823699116 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
9.01312768819282 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
10.012296502704771 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
11.002368998184185 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
12.033803286434116 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
13.02313457488345 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
14.023209838556275 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
15.000848343754296 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
16.024253474283565 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
17.01671425004396 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
18.039365112387628 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
19.000632431352667 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
20.039365112387628 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
