#####################################################################
# Alchemist log file - simulation started at: 2026-01-22T19:26+0000 #
#####################################################################
#
# seed = 54.0, connection_range_percentage = 0.25, variability = 5.0, history_length = 6000
#
# The columns have the following meaning: 
# time wandering[mean] defending[mean] solving[mean] wait[mean] attacked[max] alarm[max] historySize[mean] disagreementRate 
0.0 NaN NaN NaN NaN 0.0 0.0 NaN 0.0
0.0 0.0 0.0 0.0 1.0 0.0 0.0 2.0 0.0
1.0070949366955875 0.0 0.0 0.0 1.0 0.0 0.0 2.325 0.0
2.015236483153677 0.0 0.0 0.0 1.0 0.0 0.0 2.975 0.0
3.003944888641912 0.0 0.0 0.0 1.0 0.0 0.0 2.975 0.0
4.038402599179679 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
5.004280777980572 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
6.012540643947608 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
7.040033154297828 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
8.091629480939565 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
9.004015876716151 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
10.006560567022293 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
11.018569428278205 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
12.014652822534812 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
13.020993993266803 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
14.03767240673466 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
15.007950349516467 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
16.105995834395365 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
17.079573962600417 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
18.007278731348087 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
19.002981430988164 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
20.02385377894152 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
